clause_id,securityrequirement_id,parent_id,label,level,text,contains_odp,source_document
03.03.02.a.01,03.03.02,03.03.02.a,1.,2,What type of event occurred,no,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
03.03.02.a.02,03.03.02,03.03.02.a,2.,2,When the event occurred,no,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
03.03.02.a.03,03.03.02,03.03.02.a,3.,2,Where the event occurred,no,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
03.03.02.a.04,03.03.02,03.03.02.a,4.,2,Source of the event,no,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
03.03.02.a.05,03.03.02,03.03.02.a,5.,2,Outcome of the event,no,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
03.03.02.a.06,03.03.02,03.03.02.a,6.,2,"Identity of the individuals, subjects, objects, or entities associated with the event",no,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
03.03.02.b,03.03.02,03.03.02,b.,1,Provide additional information for audit records as needed.,no,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
03.03.03.a,03.03.03,03.03.03,a.,1,Generate audit records for the selected event types and audit record content specified in 03.03.01 and 03.03.02.,no,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
03.03.03.b,03.03.03,03.03.03,b.,1,Retain audit records for a time period consistent with the records retention policy.,no,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
03.03.04.a,03.03.04,03.03.04,a.,1,Alert organizational personnel or roles within [Assignment: organization-defined time period] in the event of an audit logging process failure.,yes,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
