clause_id,section_id,parent_clause_id,label,level,text,source_document
s19(2)(b),s19,s19(2),(b),paragraph,a description of the purpose for which the personal data is to be processed;,Kenya Data Protection Act (No. 24 of 2019) - KB 2/Africa/Kenya Data Protection Act.pdf
s19(2)(c),s19,s19(2),(c),paragraph,"the category of data subjects, to which the personal data relates;",Kenya Data Protection Act (No. 24 of 2019) - KB 2/Africa/Kenya Data Protection Act.pdf
s19(2)(d),s19,s19(2),(d),paragraph,contact details of the data controller or data processor;,Kenya Data Protection Act (No. 24 of 2019) - KB 2/Africa/Kenya Data Protection Act.pdf
s19(2)(e),s19,s19(2),(e),paragraph,"a general description of the risks, safeguards, security measures and mechanisms to ensure the protection of personal data;",Kenya Data Protection Act (No. 24 of 2019) - KB 2/Africa/Kenya Data Protection Act.pdf
s19(2)(f),s19,s19(2),(f),paragraph,any measures to indemnify the data subject from unlawful use of data by the data processor or data controller; and,Kenya Data Protection Act (No. 24 of 2019) - KB 2/Africa/Kenya Data Protection Act.pdf
s19(2)(g),s19,s19(2),(g),paragraph,any other details as may be prescribed by the Data Commissioner.,Kenya Data Protection Act (No. 24 of 2019) - KB 2/Africa/Kenya Data Protection Act.pdf
s19(3),s19,,(3),subsection,A data controller or data processor who knowingly supplies any false or misleading detail under sub-section (1) commits an offence.,Kenya Data Protection Act (No. 24 of 2019) - KB 2/Africa/Kenya Data Protection Act.pdf
s19(4),s19,,(4),subsection,The Data Commissioner shall issue a certificate of registration where a data controller or data processor meets the requirements for registration.,Kenya Data Protection Act (No. 24 of 2019) - KB 2/Africa/Kenya Data Protection Act.pdf
s19(5),s19,,(5),subsection,A data controller or data processor shall notify the Data Commissioner of a change in any particular outlined under subsection (2).,Kenya Data Protection Act (No. 24 of 2019) - KB 2/Africa/Kenya Data Protection Act.pdf
s19(6),s19,,(6),subsection,"On receipt of a notification under sub-section (5), the Data Commissioner shall amend the respective entry in the Register.",Kenya Data Protection Act (No. 24 of 2019) - KB 2/Africa/Kenya Data Protection Act.pdf
s19(7),s19,,(7),subsection,A data controller or data processor who fails to comply with the provisions of this section commits an offence.,Kenya Data Protection Act (No. 24 of 2019) - KB 2/Africa/Kenya Data Protection Act.pdf
s21(1),s21,,(1),subsection,The Data Commissioner shall keep and maintain a register of the registered data controllers and data processors.,Kenya Data Protection Act (No. 24 of 2019) - KB 2/Africa/Kenya Data Protection Act.pdf
s21(2),s21,,(2),subsection,"The Data Commissioner may, at the request of a data controller or data processor, remove any entry in the register which has ceased to be applicable.",Kenya Data Protection Act (No. 24 of 2019) - KB 2/Africa/Kenya Data Protection Act.pdf
s21(3),s21,,(3),subsection,The register shall be a public document and available for inspection by any person.,Kenya Data Protection Act (No. 24 of 2019) - KB 2/Africa/Kenya Data Protection Act.pdf
s21(4),s21,,(4),subsection,A person may request the Data Commissioner for a certified copy of any entry in the register.,Kenya Data Protection Act (No. 24 of 2019) - KB 2/Africa/Kenya Data Protection Act.pdf
s22(a),s22,,(a),paragraph,any information given by the applicant is false or misleading; or,Kenya Data Protection Act (No. 24 of 2019) - KB 2/Africa/Kenya Data Protection Act.pdf
s22(b),s22,,(b),paragraph,"the holder of the registration certificate, without lawful excuse, fails to comply with any requirement of this Act.",Kenya Data Protection Act (No. 24 of 2019) - KB 2/Africa/Kenya Data Protection Act.pdf
