source_id,target_id,rel_type,level
s62(2),s62(2)(j),HAS_CLAUSE,paragraph
s62(2),s62(2)(k),HAS_CLAUSE,paragraph
s62(2),s62(2)(l),HAS_CLAUSE,paragraph
s65,s65(1),HAS_CLAUSE,subsection
s65,s65(2),HAS_CLAUSE,subsection
s65(2),s65(2)(a),HAS_CLAUSE,paragraph
s65(2),s65(2)(b),HAS_CLAUSE,paragraph
s65(2)(b),s65(2)(b)(i),HAS_CLAUSE,subparagraph
s65(2)(b),s65(2)(b)(ii),HAS_CLAUSE,subparagraph
s65,s65(3),HAS_CLAUSE,subsection
s65,s65(4),HAS_CLAUSE,subsection
s67,s67(a),HAS_CLAUSE,paragraph
s67,s67(b),HAS_CLAUSE,paragraph
s67,s67(c),HAS_CLAUSE,paragraph
s68,s68(1),HAS_CLAUSE,subsection
s68,s68(2),HAS_CLAUSE,subsection
s68(2),s68(2)(a),HAS_CLAUSE,paragraph
s68(2),s68(2)(b),HAS_CLAUSE,paragraph
s68(2),s68(2)(c),HAS_CLAUSE,paragraph
s68(2),s68(2)(d),HAS_CLAUSE,paragraph
s68(2),s68(2)(e),HAS_CLAUSE,paragraph
s68(2),s68(2)(f),HAS_CLAUSE,paragraph
s68,s68(3),HAS_CLAUSE,subsection
s70,s70(1),HAS_CLAUSE,subsection
s70,s70(2),HAS_CLAUSE,subsection
s70,s70(3),HAS_CLAUSE,subsection
s70(3),s70(3)(a),HAS_CLAUSE,paragraph
s70(3),s70(3)(b),HAS_CLAUSE,paragraph
s70(3),s70(3)(c),HAS_CLAUSE,paragraph
s70(3),s70(3)(d),HAS_CLAUSE,paragraph
s70(3),s70(3)(e),HAS_CLAUSE,paragraph
s71,s71(1),HAS_CLAUSE,subsection
s71,s71(2),HAS_CLAUSE,subsection
s71(2),s71(2)(a),HAS_CLAUSE,paragraph
s71(2),s71(2)(b),HAS_CLAUSE,paragraph
s71(2),s71(2)(c),HAS_CLAUSE,paragraph
s71(2),s71(2)(d),HAS_CLAUSE,paragraph
s71(2),s71(2)(e),HAS_CLAUSE,paragraph
s71(2),s71(2)(f),HAS_CLAUSE,paragraph
s71(2),s71(2)(g),HAS_CLAUSE,paragraph
s71(2),s71(2)(h),HAS_CLAUSE,paragraph
s71(2),s71(2)(i),HAS_CLAUSE,paragraph
s71,s71(3),HAS_CLAUSE,subsection
s71(3),s71(3)(a),HAS_CLAUSE,paragraph
s71(3),s71(3)(b),HAS_CLAUSE,paragraph
s71,s71(4),HAS_CLAUSE,subsection
s71(4),s71(4)(a),HAS_CLAUSE,paragraph
s71(4),s71(4)(b),HAS_CLAUSE,paragraph
s71(4),s71(4)(c),HAS_CLAUSE,paragraph
s71(4),s71(4)(d),HAS_CLAUSE,paragraph
s72,s72(1),HAS_CLAUSE,subsection
s72,s72(2),HAS_CLAUSE,subsection
s72,s72(3),HAS_CLAUSE,subsection
s72(3),s72(3)(a),HAS_CLAUSE,paragraph
s72(3),s72(3)(b),HAS_CLAUSE,paragraph
s72,s72(4),HAS_CLAUSE,subsection
s72,s72(5),HAS_CLAUSE,subsection
s72,s72(6),HAS_CLAUSE,subsection
s73,s73(1),HAS_CLAUSE,subsection
s73,s73(2),HAS_CLAUSE,subsection
s73(2),s73(2)(a),HAS_CLAUSE,paragraph
s73(2),s73(2)(b),HAS_CLAUSE,paragraph
s74,s74(1),HAS_CLAUSE,subsection
s74(1),s74(1)(a),HAS_CLAUSE,paragraph
s74(1),s74(1)(b),HAS_CLAUSE,paragraph
s74(1),s74(1)(c),HAS_CLAUSE,paragraph
s74(1),s74(1)(d),HAS_CLAUSE,paragraph
s74,s74(2),HAS_CLAUSE,subsection
