source_id,target_id,rel_type,next_label,source_document
sra_s7_q1_o1,sra_s7_q2,LEADS_TO,Q2,DTOP-OLD
sra_s7_q1_o2,sra_s7_q5,LEADS_TO,Q5,DTOP-OLD
sra_s7_q1_o3,sra_s7_q5,LEADS_TO,Q5,DTOP-OLD
sra_s7_q2_o1,sra_s7_q3,LEADS_TO,Q3,DTOP-OLD
sra_s7_q2_o2,sra_s7_q4,LEADS_TO,Q4,DTOP-OLD
sra_s7_q2_o3,sra_s7_q4,LEADS_TO,Q4,DTOP-OLD
sra_s7_q3_o1,sra_s7_q4,LEADS_TO,Q4,DTOP-OLD
sra_s7_q3_o2,sra_s7_q4,LEADS_TO,Q4,DTOP-OLD
sra_s7_q3_o3,sra_s7_q4,LEADS_TO,Q4,DTOP-OLD
sra_s7_q3_o4,sra_s7_q4,LEADS_TO,Q4,DTOP-OLD
sra_s7_q4_o1,sra_s7_q5,LEADS_TO,Q5,DTOP-OLD
sra_s7_q4_o2,sra_s7_q5,LEADS_TO,Q5,DTOP-OLD
sra_s7_q4_o3,sra_s7_q5,LEADS_TO,Q5,DTOP-OLD
sra_s7_q4_o4,sra_s7_q5,LEADS_TO,Q5,DTOP-OLD
sra_s7_q4_o5,sra_s7_q5,LEADS_TO,Q5,DTOP-OLD
sra_s7_q4_o6,sra_s7_q5,LEADS_TO,Q5,DTOP-OLD
sra_s7_q5_o1,sra_s7_q6,LEADS_TO,Q6,DTOP-OLD
sra_s7_q5_o2,sra_s7_q8,LEADS_TO,Q8,DTOP-OLD
sra_s7_q5_o3,sra_s7_q8,LEADS_TO,Q8,DTOP-OLD
sra_s7_q6_o1,sra_s7_q7,LEADS_TO,Q7,DTOP-OLD
sra_s7_q6_o2,sra_s7_q7,LEADS_TO,Q7,DTOP-OLD
sra_s7_q6_o3,sra_s7_q7,LEADS_TO,Q7,DTOP-OLD
sra_s7_q6_o4,sra_s7_q7,LEADS_TO,Q7,DTOP-OLD
sra_s7_q6_o5,sra_s7_q7,LEADS_TO,Q7,DTOP-OLD
sra_s7_q7_o1,sra_s7_q8,LEADS_TO,Q8,DTOP-OLD
sra_s7_q7_o2,sra_s7_q8,LEADS_TO,Q8,DTOP-OLD
sra_s7_q7_o3,sra_s7_q8,LEADS_TO,Q8,DTOP-OLD
sra_s7_q8_o1,sra_s7_q9,LEADS_TO,Q9,DTOP-OLD
sra_s7_q8_o2,sra_s7_q9,LEADS_TO,Q9,DTOP-OLD
sra_s7_q8_o3,sra_s7_q9,LEADS_TO,Q9,DTOP-OLD
sra_s7_q9_o1,sra_s7_q10,LEADS_TO,Q10,DTOP-OLD
sra_s7_q9_o2,sra_s7_q10,LEADS_TO,Q10,DTOP-OLD
sra_s7_q9_o3,sra_s7_q10,LEADS_TO,Q10,DTOP-OLD
sra_s7_q9_o4,sra_s7_q10,LEADS_TO,Q10,DTOP-OLD
sra_s7_q9_o5,sra_s7_q10,LEADS_TO,Q10,DTOP-OLD
sra_s7_q9_o6,sra_s7_q10,LEADS_TO,Q10,DTOP-OLD
sra_s7_q9_o7,sra_s7_q10,LEADS_TO,Q10,DTOP-OLD
sra_s7_q9_o8,sra_s7_q10,LEADS_TO,Q10,DTOP-OLD
sra_s7_q9_o9,sra_s7_q10,LEADS_TO,Q10,DTOP-OLD
sra_s7_q10_o1,sra_s7_q11,LEADS_TO,Q11,DTOP-OLD
sra_s7_q10_o2,sra_s7_q12,LEADS_TO,Q12,DTOP-OLD
sra_s7_q10_o3,sra_s7_q12,LEADS_TO,Q12,DTOP-OLD
sra_s7_q11_o1,sra_s7_q12,LEADS_TO,Q12,DTOP-OLD
sra_s7_q11_o2,sra_s7_q12,LEADS_TO,Q12,DTOP-OLD
sra_s7_q11_o3,sra_s7_q12,LEADS_TO,Q12,DTOP-OLD
sra_s7_q11_o4,sra_s7_q12,LEADS_TO,Q12,DTOP-OLD
sra_s7_q11_o5,sra_s7_q12,LEADS_TO,Q12,DTOP-OLD
sra_s7_q11_o6,sra_s7_q12,LEADS_TO,Q12,DTOP-OLD
sra_s7_q12_o1,sra_s7_q13,LEADS_TO,Q13,DTOP-OLD
sra_s7_q12_o2,sra_s7_q13,LEADS_TO,Q13,DTOP-OLD
sra_s7_q12_o3,sra_s7_q13,LEADS_TO,Q13,DTOP-OLD
sra_s7_q12_o4,sra_s7_q13,LEADS_TO,Q13,DTOP-OLD
