item_id,parent_id,parent_type,item_label,item_text,source_document
SA-15(7)::a,SA-15(7),ControlEnhancement,(a),Perform an automated vulnerability analysis using [Assignment: organization-defined tools];,NIST SP 800-53r5
SA-15(7)::b,SA-15(7),ControlEnhancement,(b),Determine the exploitation potential for discovered vulnerabilities;,NIST SP 800-53r5
SA-15(7)::c,SA-15(7),ControlEnhancement,(c),Determine potential risk mitigations for delivered vulnerabilities; and,NIST SP 800-53r5
SA-15(7)::d,SA-15(7),ControlEnhancement,(d),Deliver the outputs of the tools and results of the analysis to [Assignment: organization-defined personnel or roles].,NIST SP 800-53r5
SA-17::a,SA-17,Control,a.,Is consistent with the organization’s security and privacy architecture that is an integral part the organization’s enterprise architecture;,NIST SP 800-53r5
SA-17::b,SA-17,Control,b.,"Accurately and completely describes the required security and privacy functionality, and the allocation of controls among physical and logical components; and",NIST SP 800-53r5
SA-17::c,SA-17,Control,c.,"Expresses how individual security and privacy functions, mechanisms, and services work together to provide required security and privacy capabilities and a unified approach to protection.",NIST SP 800-53r5
SA-17(1)::a,SA-17(1),ControlEnhancement,(a),"Produce, as an integral part of the development process, a formal policy model describing the [Assignment: organization-defined elements of organizational security and privacy policy] to be enforced; and",NIST SP 800-53r5
SA-17(1)::b,SA-17(1),ControlEnhancement,(b),Prove that the formal policy model is internally consistent and sufficient to enforce the defined elements of the organizational security and privacy policy when implemented.,NIST SP 800-53r5
SA-17(2)::a,SA-17(2),ControlEnhancement,(a),"Define security-relevant hardware, software, and firmware; and",NIST SP 800-53r5
SA-17(2)::b,SA-17(2),ControlEnhancement,(b),"Provide a rationale that the definition for security-relevant hardware, software, and firmware is complete.",NIST SP 800-53r5
SA-17(3)::a,SA-17(3),ControlEnhancement,(a),"Produce, as an integral part of the development process, a formal top-level specification that specifies the interfaces to security-relevant hardware, software, and firmware in terms of exceptions, error messages, and effects;",NIST SP 800-53r5
SA-17(3)::b,SA-17(3),ControlEnhancement,(b),"Show via proof to the extent feasible with additional informal demonstration as necessary, that the formal top-level specification is consistent with the formal policy model;",NIST SP 800-53r5
SA-17(3)::c,SA-17(3),ControlEnhancement,(c),"Show via informal demonstration, that the formal top-level specification completely covers the interfaces to security-relevant hardware, software, and firmware;",NIST SP 800-53r5
SA-17(3)::d,SA-17(3),ControlEnhancement,(d),"Show that the formal top-level specification is an accurate description of the implemented security-relevant hardware, software, and firmware; and",NIST SP 800-53r5
SA-17(3)::e,SA-17(3),ControlEnhancement,(e),"Describe the security-relevant hardware, software, and firmware mechanisms not addressed in the formal top-level specification but strictly internal to the security-relevant hardware, software, and firmware.",NIST SP 800-53r5
SA-17(4)::a,SA-17(4),ControlEnhancement,(a),"Produce, as an integral part of the development process, an informal descriptive top-level specification that specifies the interfaces to security-relevant hardware, software, and firmware in terms of exceptions, error messages, and effects;",NIST SP 800-53r5
SA-17(4)::b,SA-17(4),ControlEnhancement,(b),Show via [Selection: informal demonstration; convincing argument with formal methods as feasible] that the descriptive top-level specification is consistent with the formal policy model;,NIST SP 800-53r5
SA-17(4)::c,SA-17(4),ControlEnhancement,(c),"Show via informal demonstration, that the descriptive top-level specification completely covers the interfaces to security-relevant hardware, software, and firmware;",NIST SP 800-53r5
SA-17(4)::d,SA-17(4),ControlEnhancement,(d),"Show that the descriptive top-level specification is an accurate description of the interfaces to security-relevant hardware, software, and firmware; and",NIST SP 800-53r5
SA-17(4)::e,SA-17(4),ControlEnhancement,(e),"Describe the security-relevant hardware, software, and firmware mechanisms not addressed in the descriptive top-level specification but strictly internal to the security-relevant hardware, software, and firmware.",NIST SP 800-53r5
SA-17(5)::a,SA-17(5),ControlEnhancement,(a),"Design and structure the security-relevant hardware, software, and firmware to use a complete, conceptually simple protection mechanism with precisely defined semantics; and",NIST SP 800-53r5
SA-17(5)::b,SA-17(5),ControlEnhancement,(b),"Internally structure the security-relevant hardware, software, and firmware with specific regard for this mechanism.",NIST SP 800-53r5
SA-21::a,SA-21,Control,a.,Has appropriate access authorizations as determined by assigned [Assignment: organization-defined official government duties]; and,NIST SP 800-53r5
