clause_id,article_id,parent_clause_id,label,level,text,source_document
art_21_1_c,art_21,art_21_1,c.,letter,the type and relevance of the Personal Data to be processed;,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
art_21_1_d,art_21,art_21_1,d.,letter,the retention period of documents containing the Personal Data;,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
art_21_1_e,art_21,art_21_1,e.,letter,the details of the Information collected;,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
art_21_1_f,art_21,art_21_1,f.,letter,the period for the processing of Personal Data; and,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
art_21_1_g,art_21,art_21_1,g.,letter,the rights of the Personal Data Subject.,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
art_21_2,art_21,,(2),paragraph,"In the event of alteration of Information under section (1), a Personal Data Controller must notify the Personal Data Subject before the alteration.",UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
art_22_1,art_22,,(1),paragraph,Consent to process Personal Data must be given via written or recorded consent.,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
art_22_2,art_22,,(2),paragraph,Consent under section (1) may be given electronically or nonelectronically.,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
art_22_3,art_22,,(3),paragraph,Consent under section (1) shall have the same force and effect of law.,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
art_22_4,art_22,,(4),paragraph,"Where consent under section (1) contains different purposes, the request for consent shall:",UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
art_22_4_a,art_22,art_22_4,a.,letter,be clearly distinguishable from other matters;,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
art_22_4_b,art_22,art_22_4,b.,letter,be made in an intelligible and easily accessible form; and,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
art_22_4_c,art_22,art_22_4,c.,letter,use clear and plain language.,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
art_22_5,art_22,,(5),paragraph,Consent that fails to fulfill section (1) and section (4) shall be declared void by operation of law.,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
art_25_1,art_25,,(1),paragraph,Personal Data of children must be processed in a specific way.,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
art_25_2,art_25,,(2),paragraph,The processing of Personal Data of children under section (1) must obtain consent from the children's parents and/or guardian in accordance with law and regulations.,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
art_26_1,art_26,,(1),paragraph,Personal Data of persons with disabilities must be processed in a specific way.,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
art_26_2,art_26,,(2),paragraph,The processing of Personal Data of persons with disabilities under section (1) is carried out through communications that use appropriate methods in accordance with law and regulations.,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
art_26_3,art_26,,(3),paragraph,The processing of Personal Data of persons with disabilities under section (2) must obtain consent from the person with disabilities and/or guardians of the person with disabilities in accordance with law and regulations.,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
art_29_1,art_29,,(1),paragraph,"A Personal Data Controller must ensure the accuracy, completeness, and consistency of Personal Data under law and regulations.",UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
art_29_2,art_29,,(2),paragraph,"To ensure the accuracy, completeness, and consistency of Personal Data under section (1), a Personal Data Controller must verify it.",UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
art_30_1,art_30,,(1),paragraph,A Personal Data Controller must update and/or rectify errors and/or inaccuracy of Personal Data within 3 x 24 (three periods of twenty-four) hours of receipt of a request for update and/or rectification of the Personal Data by the Personal Data Controller.,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
art_30_2,art_30,,(2),paragraph,A Personal Data Controller must notify the Personal Data Subject of the results of update and/or rectification of the Personal Data.,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
art_32_1,art_32,,(1),paragraph,"A Personal Data Controller must provide the Personal Data Subject with access to Personal Data being processed, along with the records of Personal Data processing within the storage period of the Personal Data.",UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
art_32_2,art_32,,(2),paragraph,Access under section (1) shall be provided within 3 x 24 (three periods of twenty-four) hours of receipt of a request for access by the Personal Data Controller.,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
art_33_a,art_33,,a.,letter,"jeopardize the safety, physical health, or mental health of the Personal Data Subject and/or other persons;",UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
art_33_b,art_33,,b.,letter,would disclose another person's Personal Data; and/or,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
art_33_c,art_33,,c.,letter,would be contrary to national defense and security interests.,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
art_34_1,art_34,,(1),paragraph,A Personal Data Controller must assess the impact of Personal Data Protection on the processing of Personal Data with a high potential risk to the Personal Data Subject.,UU No. 27 of 2022 on Personal Data Protection (Indonesia) - English translation by Wishnu Basuki; KB 2/Indonesia/Personal Data Protection Law.pdf
